id,domain_id,number,name
02bdacae-f7ce-4339-a0cb-47ca6d8cd4d5,a5575ed3-a5a4-4218-91ec-7540b30dd903,2.3,Manage the lifecycle of data
04ada9f4-fdba-4946-a12d-d916f2c1fdae,7f7016d9-c635-40b5-bd9b-0c1ce9c1d0db,2.1,Design scalable and loosely coupled architectures
088afd74-a264-4126-a318-9cc46a249dd1,85c322e7-d14b-4bf8-80c6-3a281f4de0db,4.1,Design cost-optimized storage solutions
08b64d9a-6a62-4f4d-84e1-a8138166601b,90e37868-c663-4101-800f-410a9e3f899c,1.2,Transform data and perform feature engineering
08ff21d9-7d41-42e7-9b54-98ba37bec1be,90e37868-c663-4101-800f-410a9e3f899c,1.3,Ensure data integrity and prepare data for modeling
09801066-2a49-4238-9e6a-6757e1ac4e64,e582013f-1038-4bb3-a18a-d158ad2cc244,1.2,Develop code for AWS Lambda
09fa0149-f3e1-4a90-af16-c3931ac128e9,6498cdc9-13c5-47de-a1e7-eaaaac05b883,4.2,Recognize the importance of transparent and explainable models
0bc0cc76-9109-42c2-a0ce-2e5b1c31cd72,f062244e-d126-46b1-93af-a01db4b52cd3,3.2,Monitor and analyze network traffic to troubleshoot and optimize connectivity patterns
0c23fbaf-6fbf-46dc-b6e4-01717062a10e,a5575ed3-a5a4-4218-91ec-7540b30dd903,2.4,Design data models and schema evolution
143b8da8-f5d7-43ae-a0d4-5a45dda0c602,4a1ab79f-5ae1-4bbd-a67b-72ba67d03236,6.3,Evaluate the compliance of AWS resources
15645975-c2d7-4fd6-b1ef-64e2d82decdf,04c1d49b-af7d-4d7e-b3c1-de2ec2a2715c,2.3,Describe AWS infrastructure and technologies for building generative AI applications
16b9d9cc-e948-49fa-a497-6b37ca5f8043,93cf9b98-cb58-442d-8783-7f8125d5d775,2.2,Implement encryption by using AWS services
184f2fa8-b244-4105-a743-5a0fb92e9b90,fe91081e-30a3-488f-ad04-1b07395e00a1,3.1,Determine a strategy to improve overall operational excellence
19b3f12f-022e-47c6-ba60-1c4fd80f43ce,c54ac289-b927-4596-81eb-73cbc5672ba0,3.2,Test applications in development environments
1a256526-048a-4b88-bd76-566a843469e2,019ba31d-1adb-4203-a201-890503ef440f,1.1,"Implement metrics, alarms, and filters by using AWS monitoring and logging services"
1beec2db-4409-43ce-8f12-6d062a8d1728,9ea6125a-4d31-4c5e-98d8-e79582277431,4.2,"Audit, monitor, and analyze logs and metrics to detect issues"
1dd3c218-eb59-48e0-9f20-8617c12cfb4d,9ea6125a-4d31-4c5e-98d8-e79582277431,4.1,"Configure the collection, aggregation, and storage of logs and metrics"
1e3b8aa3-131a-4557-bd21-1b934e6008b0,7be36c60-303f-413f-ac43-26d0f17de86e,3.3,Determine high-performing database solutions
21313721-0acc-4e7d-95bb-2c40e60cd464,b2bffab2-e825-49f3-abd3-8004814aeb73,4.3,Determine a new architecture for existing workloads
22cee2f9-5d43-4110-808a-ce90fe4d1a80,c19b3a38-09aa-41b1-88ee-65def0ccb8d4,3.4,Implement responsible AI principles
2469d360-3de2-48ff-a26e-0ecc5a5fc9ca,1b3e6052-74a4-4181-8e98-ca6b7ca727ff,2.2,"Implement routing and connectivity across multiple AWS accounts, Regions, and VPCs to support different connectivity patterns"
25598c94-4b89-4d80-98b7-1bcc91d7ee88,08ef4e26-c8b1-4e0e-8bcf-f8c064da225e,3.3,Describe the training and fine-tuning process for foundation models
25af395a-a3f8-418f-bdb7-c1b7f17b0803,8aa8ea67-43f7-489d-90eb-a745904087ac,1.3,Describe the ML development lifecycle
2700ed0d-610c-495d-9f5a-cdea8f80be69,4a1ab79f-5ae1-4bbd-a67b-72ba67d03236,6.1,Develop a strategy to centrally deploy and manage AWS accounts
273bb383-a3f1-4440-8bb1-9e78dd36a126,66ca14dc-5b79-4fd3-a3a9-5a1b224185c0,5.2,Recognize governance and compliance regulations for AI systems
2a1e725a-cff5-4d31-a9cd-0e5cf67d54f0,96ed615c-d204-40c7-bfd1-7b6edf0fbc92,2.3,Determine security controls based on requirements
2c555337-0e3e-4d60-b11d-7856bdc58956,a1cb0765-5950-4c37-a38e-ffc76d1b94e5,2.1,Implement agentic AI solutions and tool integrations
2e2e04ea-6cd4-4dcf-9baf-1ecdf14239bf,3128007e-fb9c-446e-9756-e5146a21d131,1.3,"Design solutions that integrate load balancing to meet high availability, scalability, and security requirements"
2f2abe48-a4ca-4cdc-b366-dc52e922beb1,e1d20877-d725-4cf1-a45d-2284a4b7fa8d,6.3,Implement security monitoring and auditing solutions
