id,exam_id,number,name
019ba31d-1adb-4203-a201-890503ef440f,fec2781e-7342-448f-a226-1469d7fdcb67,1,"Monitoring, Logging, Analysis, Remediation, and Performance Optimization"
02d47f1b-cab1-4a22-bba6-9199f469241e,b387a81d-c0a6-4ad2-98c1-a74f9d87a3b3,3,Infrastructure Security
0475e229-7623-4cc3-8311-72e4c03317aa,0cba4c9d-c747-46c2-b366-63c45c77e826,1,Cloud Concepts
04c1d49b-af7d-4d7e-b3c1-de2ec2a2715c,2e64290b-2bb2-40e8-9b66-0b6f084db46c,2,Fundamentals of Generative AI
08ef4e26-c8b1-4e0e-8bcf-f8c064da225e,2e64290b-2bb2-40e8-9b66-0b6f084db46c,3,Applications of Foundation Models
0c5b91c4-0618-4dc6-8f7d-51e136e433e9,17b647e6-0dbe-442e-9871-8d3f4ab90bbe,1,SDLC Automation
16b74b94-8a5d-4b10-bee9-f4f88cbf9704,e185433c-3845-4f70-a864-418ac180fdb4,5,"Testing, Validation, and Troubleshooting"
1799de29-2650-4a50-afd1-98704dff5000,b967ee02-65e1-49d1-bde7-d7a92f98c039,1,Design Solutions for Organizational Complexity
193ca3b8-65f5-4fef-93cc-02131b5c92fb,b387a81d-c0a6-4ad2-98c1-a74f9d87a3b3,2,Incident Response
1b3e6052-74a4-4181-8e98-ca6b7ca727ff,bda87e23-7e3c-407a-9ca7-65f4399f9ebb,2,Network Implementation
1b6a15d6-aeb2-4477-a943-e827b5db5092,ed802a65-ebef-4d51-8208-7d22e5641ee6,3,Data Operations and Support
2b0fff1e-8b6f-4f8a-9890-99d1714ccc32,fec2781e-7342-448f-a226-1469d7fdcb67,5,Networking and Content Delivery
3128007e-fb9c-446e-9756-e5146a21d131,bda87e23-7e3c-407a-9ca7-65f4399f9ebb,1,Network Design
353aec84-ac81-4cbe-9725-5ed4aadb83c6,e185433c-3845-4f70-a864-418ac180fdb4,1,"Foundation Model Integration, Data Management, and Compliance"
38a75461-6ee5-45c7-8562-f6fbb5b4a24d,17b647e6-0dbe-442e-9871-8d3f4ab90bbe,3,Resilient Cloud Solutions
455ce9de-ccd9-4ffb-a8c9-0e231c7d4ad2,ed802a65-ebef-4d51-8208-7d22e5641ee6,4,Data Security and Governance
47fa916e-fb17-407a-8d41-56d7a2cf4770,bda87e23-7e3c-407a-9ca7-65f4399f9ebb,4,"Network Security, Compliance, and Governance"
4a1ab79f-5ae1-4bbd-a67b-72ba67d03236,b387a81d-c0a6-4ad2-98c1-a74f9d87a3b3,6,Security Foundations and Governance
575753ae-7a39-491d-ad4c-1cd96182d069,b387a81d-c0a6-4ad2-98c1-a74f9d87a3b3,5,Data Protection
5ebc6dcd-7bec-4d01-abbe-47858318dcf6,17b647e6-0dbe-442e-9871-8d3f4ab90bbe,5,Incident and Event Response
5ff337fb-139d-40e3-8ba2-d3d274620f1e,641148b7-475d-4db4-9fa4-42356a8adc84,4,"ML Solution Monitoring, Maintenance, and Security"
