id,task_statement_id,scenario,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,correct_explanation,wrong_explanation_1,wrong_explanation_2,wrong_explanation_3,created_at,service_tags
0033d6df-a42a-4bfe-8b58-bf8319df8e04,09124384-e090-4497-b972-80f3e6e05ddd,"An application needs to ingest and process large volumes of streaming data — clickstream events, IoT telemetry, and log streams — with multiple consumers reading from the same stream at different paces. Which AWS service is purpose-built for this?",Amazon Kinesis Data Streams,Amazon SQS,Amazon SNS,AWS Glue,"Kinesis Data Streams ingests high-volume, ordered streaming data and retains it for a configurable period, allowing multiple consumers to read at their own pace from the same stream. It is the canonical AWS streaming service.",SQS is a worker queue. Once a message is consumed by one consumer it is deleted — it does not support multiple parallel consumers reading the same record stream.,SNS pushes messages to subscribers but does not retain them as a re-readable stream the way Kinesis does.,Glue is an ETL service for batch and streaming transformations. It is not the ingestion-and-fan-out streaming platform itself.,2026-05-17 09:08:24.437166+00,"[""kinesis""]"
005fe6a6-22ec-49d5-ab97-d9f280b19ce2,403aefcb-27d7-4c61-bcd3-0de3b1875935,"A company needs to run a high-performance computing (HPC) workload that requires low-latency, high-bandwidth communication between hundreds of EC2 instances. The instances must be physically close to each other to minimize network latency between nodes. Which EC2 feature should the solutions architect use?","Deploy the EC2 instances in a cluster placement group to place them on hardware that is physically close together within a single Availability Zone, minimizing network latency.",Deploy the EC2 instances in a spread placement group to distribute them across distinct hardware for maximum availability.,Deploy the EC2 instances across multiple Availability Zones and use an Elastic Fabric Adapter (EFA) to enable low-latency communication.,"Use EC2 Dedicated Instances to ensure the instances run on hardware dedicated to the account, reducing network contention.","Cluster placement groups pack EC2 instances close together within a single AZ on high-bisection-bandwidth network hardware. This provides the lowest possible network latency and highest throughput between instances, which is critical for tightly coupled HPC workloads. Cluster placement groups also support Elastic Fabric Adapter (EFA) for MPI-based HPC applications.","Spread placement groups distribute instances across distinct underlying hardware to maximize fault tolerance. This is the opposite of what HPC workloads need — spread groups maximize physical distance between instances, increasing network latency.","Deploying across multiple AZs increases physical distance between instances, which increases network latency. EFA provides low-latency networking but requires instances to be in the same AZ and ideally in a cluster placement group to achieve maximum performance.","Dedicated Instances run on hardware dedicated to a single AWS account but do not guarantee physical proximity between instances. They address tenancy isolation requirements, not network latency optimization.",2026-05-17 09:14:46.790373+00,"[""ec2""]"
007fb1d0-ffe8-4fcf-875f-0d1edabddf0b,6fc1bf73-add3-40f0-8972-ba008612b3be,"A company stores petabytes of objects in S3 Standard. As monthly storage usage crosses higher tiers, the per-GB price decreases. Which AWS pricing concept does this illustrate?",Volume-based discounts (tiered pricing),Savings Plans,Spot pricing,Compute Savings Plans,"Some AWS services, including S3 Standard, apply tiered pricing — the per-unit price decreases as monthly usage exceeds tier thresholds. This volume-based discount applies automatically without commitments.","Savings Plans apply to compute services (Lambda, Fargate, EC2). They do not apply to S3 storage.",Spot pricing is an EC2 purchasing option. It is not relevant to S3 storage pricing.,"Compute Savings Plans cover Lambda, Fargate, and EC2 usage. S3 is outside their scope.",2026-05-17 09:07:51.173233+00,"[""s3""]"
00c8e2cd-bf2c-4132-b922-f0d4fe5e5138,6aca2074-e949-4651-9802-5191b305f540,Which statement BEST describes how Amazon Bedrock typically charges customers for using foundation models on-demand?,Customers pay based on the number of input and output tokens processed per request,Customers pay a flat monthly subscription regardless of usage,Customers must purchase a 3-year commitment to use any model,Bedrock is free for all model providers and any volume,On-demand Bedrock pricing is token-based: customers pay per input token and per output token at a rate that varies by model and provider. (Provisioned Throughput offers an hourly commitment option for guaranteed capacity.),There is no required flat subscription for on-demand Bedrock usage.,Multi-year commitments are not required; Provisioned Throughput is optional.,Bedrock usage is metered and billed; it is not free for paid models.,2026-05-17 09:10:38.106984+00,"[""bedrock""]"
00ec4895-ec5b-4239-9cfd-def7aae5378b,f63b1152-d85c-4b99-98bb-8fe6cccb1b1f,"A company is building a serverless API using Amazon API Gateway and AWS Lambda. The API is expected to receive highly variable traffic, with quiet periods and sudden bursts of up to 5,000 requests per second. The company wants to protect the backend Lambda functions from being overwhelmed during bursts while still serving as many requests as possible. Which feature should the solutions architect configure?","Configure usage plans and throttling limits on the API Gateway stage to set a burst limit and rate limit, smoothing traffic before it reaches Lambda.","Set the Lambda function's reserved concurrency to 5,000 to match the expected burst traffic.","Enable Lambda Provisioned Concurrency to pre-warm enough instances to handle 5,000 concurrent requests.",Deploy the API Gateway in multiple AWS Regions and use Route 53 latency-based routing to distribute the burst traffic.,"API Gateway throttling (burst limit and rate limit) controls the rate at which requests are forwarded to Lambda. When traffic exceeds the configured limits, API Gateway returns 429 Too Many Requests to excess callers rather than passing all requests to Lambda simultaneously. This protects Lambda from concurrency exhaustion while still serving traffic up to the configured limits.","Setting Lambda reserved concurrency to 5,000 reserves that concurrency from the account pool but does not protect Lambda from being overwhelmed — it just ensures those 5,000 concurrent executions are available. Without throttling at the API Gateway, all 5,000 requests could hit Lambda simultaneously, potentially causing cold starts and latency spikes.","Provisioned Concurrency pre-warms Lambda instances to eliminate cold starts, which improves latency but does not protect against being overwhelmed by burst traffic. It addresses latency, not traffic volume control.","Multi-region deployment with Route 53 distributes traffic geographically but does not smooth burst traffic. A burst of 5,000 requests per second from a single region would still overwhelm the Lambda functions in that region.",2026-05-17 09:14:46.790373+00,"[""api-gateway"",""lambda""]"
0142990f-481f-4144-8a3f-b9c38e171914,403aefcb-27d7-4c61-bcd3-0de3b1875935,"A company runs a web application on EC2 instances. Traffic is highly variable, with quiet periods overnight and sudden spikes during business hours. The company wants the application to scale out within 60 seconds of a traffic spike to prevent performance degradation. Which combination of features achieves the fastest scale-out response?","Use a target tracking scaling policy with a low target value, and configure a warm pool on the Auto Scaling group to keep pre-initialized instances ready to launch immediately.",Use a scheduled scaling policy to add instances at the start of business hours each day.,Use a step scaling policy with a 5-minute CloudWatch alarm evaluation period to add instances when CPU exceeds 70%.,Use predictive scaling to forecast traffic and pre-provision instances 10 minutes before anticipated spikes.,"A warm pool maintains a set of pre-initialized EC2 instances in a stopped or running state. When the Auto Scaling group needs to scale out, it pulls instances from the warm pool instead of launching and initializing new ones, dramatically reducing scale-out time. Combined with a target tracking policy that responds quickly to metric changes, this achieves sub-60-second scale-out.","Scheduled scaling adds instances at a fixed time each day, which is appropriate for predictable traffic patterns. It does not respond to sudden unexpected spikes that occur outside the scheduled window.","A 5-minute CloudWatch alarm evaluation period means the alarm must breach for 5 consecutive minutes before triggering scaling. This introduces at least 5 minutes of latency before any scaling action begins, far exceeding the 60-second requirement.",Predictive scaling forecasts traffic based on historical patterns and pre-provisions instances in advance. It works well for recurring predictable patterns but cannot respond to sudden unexpected spikes that deviate from historical patterns.,2026-05-17 09:15:05.769168+00,"[""ec2"",""auto-scaling""]"
017c7940-a743-4d6e-9506-5f5f7a3c9577,8808d592-f3d1-42c1-ada8-0106f10aa7d8,"A data engineering team loads data into Amazon Redshift from Amazon S3. After loading, they want to validate that the number of rows loaded matches the number of rows in the source files and that key columns do not contain null values. Which approach provides automated post-load data quality validation in Redshift?","Run SQL queries in Redshift to count rows and check for nulls, then compare with source file metadata",Use AWS Glue Data Quality rules on the S3 source files,Enable Redshift automatic table optimization,Use Amazon Athena to query the Redshift tables,"After loading data into Redshift, you can run SQL queries to validate row counts and check for null values in key columns. You can compare the row count in Redshift with the number of rows in the source files (tracked via S3 object metadata or Glue job metrics) to ensure completeness. This is the standard approach for post-load validation in Redshift.","AWS Glue Data Quality rules validate data before loading into Redshift, not after. They operate on data in S3 or during ETL processing, not on data already loaded into Redshift tables.",Redshift automatic table optimization improves query performance by automatically sorting and distributing data. It does not validate data quality or check for null values.,"Amazon Athena queries data in S3, not in Redshift tables. While you can use Athena Federated Query to query Redshift, it is not the standard approach for post-load validation within Redshift.",2026-05-17 09:12:49.173773+00,"[""redshift"",""s3""]"
021831ed-8b29-45bb-be33-3cedf7f39559,13fa1148-28a6-4b5b-a42a-1eb1993717db,"A team wants to compare three foundation models on the SAME task and dataset, with consistent metrics and side-by-side results. Which Amazon Bedrock capability is purpose-built for this comparative evaluation?",Amazon Bedrock model evaluation jobs with multiple models,Amazon Bedrock Agents,Amazon Bedrock Knowledge Bases,Amazon Bedrock Guardrails,"Amazon Bedrock model evaluation jobs let users compare multiple FMs on the same task and dataset with consistent metrics, producing side-by-side report cards to guide model selection.",Agents orchestrate tasks but do not produce comparative evaluation reports.,Knowledge Bases support RAG retrieval.,Guardrails filter content but do not compare models.,2026-05-17 09:11:00.713353+00,"[""bedrock""]"
029605ae-2c22-422f-87b9-90c0bdc06c45,b86818ac-a475-4dfe-b629-677506c46c49,Which statement BEST captures AWS's commitment to its customers' security under the AWS shared responsibility model?,"AWS is responsible for the security OF the cloud (infrastructure, hardware, facilities), and the customer is responsible for security IN the cloud","AWS owns all security responsibilities, leaving the customer with none","Customers own all security responsibilities, including the physical hardware",Security is fully outsourced to AWS Support when a Business Support plan is purchased,"The shared responsibility model divides security into AWS's responsibility for the cloud (physical infrastructure, facilities, hardware, hypervisor, managed services) and the customer's responsibility in the cloud (data, IAM, OS configurations, networking choices). Both parties have ongoing obligations.","Customers retain meaningful responsibilities — data protection, identity, and configuration — that AWS cannot perform on their behalf.",Customers do not own the physical hardware or facilities. AWS is responsible for those.,Support plans provide help with operational issues but do not transfer security responsibility from the customer to AWS.,2026-05-17 09:08:54.872441+00,
029f88cf-b7e5-40ce-86c4-a3c335e561b1,c549cf85-cac4-4d80-9711-6fdd0bf2aca2,A company stores infrequently accessed archive data in Amazon S3 Glacier Flexible Retrieval. A compliance audit requires that specific archived documents be made available within 5 minutes when requested. The company currently uses the default Bulk retrieval option. Which change should the solutions architect make to meet the 5-minute retrieval requirement?,"Switch to Expedited retrievals for the compliance documents, which make data available within 1–5 minutes for archives up to 250 MB.","Migrate the compliance documents from S3 Glacier Flexible Retrieval to S3 Glacier Instant Retrieval, which provides millisecond access.",Use S3 Batch Operations to restore all Glacier objects to S3 Standard in advance of any audit requests.,Enable S3 Intelligent-Tiering on the Glacier objects to automatically move them to a faster access tier when retrieval is requested.,"S3 Glacier Flexible Retrieval offers three retrieval options: Expedited (1–5 minutes), Standard (3–5 hours), and Bulk (5–12 hours). Switching to Expedited retrievals for compliance documents meets the 5-minute requirement while keeping the data in Glacier Flexible Retrieval. Expedited retrievals can be provisioned for guaranteed capacity using Provisioned Retrieval Capacity.","Migrating to S3 Glacier Instant Retrieval would meet the requirement (millisecond access) but at a higher storage cost than Glacier Flexible Retrieval. The question asks for a change to meet the 5-minute requirement, and Expedited retrieval achieves this without migrating storage tiers.",Pre-restoring all Glacier objects to S3 Standard is expensive and operationally complex. It requires knowing in advance which documents will be requested and incurs both retrieval fees and S3 Standard storage costs for the restored copies.,"S3 Intelligent-Tiering automatically moves objects between access tiers based on access patterns, but it does not apply to objects already in S3 Glacier Flexible Retrieval. Intelligent-Tiering manages transitions between Standard, Standard-IA, Archive Instant Access, and Archive Access tiers within its own tier structure.",2026-05-17 09:15:05.769168+00,"[""s3""]"
