id,name,overview,deep_dive,created_at
01efcaaf-5e46-4f78-8aca-60a55cbb65d1,scp,Service Control Policies; Organizations policies that set maximum permissions for accounts and OUs.,"Attached to root, OUs, or individual accounts; do NOT grant permissions, only set the maximum boundary; for an action to succeed, both the IAM policy AND the SCP (and any permissions boundary) must allow it; do not affect the management (master) account; default FullAWSAccess SCP allows everything; common SCP patterns: deny specific regions, deny disabling logging (CloudTrail/Config), deny root user actions, restrict instance types, require encryption; require All Features mode in Organizations (cannot use with Consolidated Billing only).",2026-05-17 08:58:21.115874+00
02a5a830-fed7-4bac-91ec-0080cb5e715b,spark,Apache Spark; open-source distributed processing engine for big data workloads on AWS.,"Available on AWS via Amazon EMR, Glue ETL, EMR on EKS, EMR Serverless, Athena Spark, SageMaker Processing; supports batch processing, streaming (Structured Streaming), SQL (Spark SQL), ML (MLlib), and graph processing (GraphX); APIs in Scala, Java, Python (PySpark), R, SQL; integrates with S3 via EMRFS, Glue Data Catalog as Hive metastore, Lake Formation for fine-grained access; commonly used for ETL, data lake processing, ML feature engineering.",2026-05-17 08:58:21.115874+00
05e0c59d-76ad-47b7-8bef-a116d34dd23b,compute-optimizer,Service that analyzes resource usage and recommends optimal configurations.,"Analyzes CloudWatch metrics (default 14 days, up to 3 months with enhanced infrastructure metrics) to recommend rightsizing for EC2 instances, Auto Scaling groups, EBS volumes, Lambda functions, ECS services on Fargate, RDS instances; recommendations classified as under-provisioned, over-provisioned, optimized; identifies idle resources; opt-in service, no extra cost for default metrics, paid for enhanced infrastructure metrics; works across single accounts and Organizations.",2026-05-17 08:58:21.115874+00
0b05bc52-a334-4bb9-838e-3f64342866c2,nacl,Network ACLs; stateless firewall at the subnet level controlling inbound and outbound traffic.,"Operate at subnet level (one NACL per subnet, can be associated with multiple subnets); stateless (return traffic must be explicitly allowed); rules evaluated in order by rule number, lowest first, first match wins; support both allow and deny rules (unlike security groups); default NACL allows all inbound and outbound; custom NACLs deny all by default; separate inbound and outbound rule sets; for ephemeral ports, allow 1024-65535 for client responses; NACL rule number range 1-32766 (lower = higher priority).",2026-05-17 08:58:21.115874+00
0b43fc23-416b-4895-be05-82767d1dcb90,aws-budgets,Tool to set custom cost and usage budgets with alert thresholds.,"Tracks costs, usage, RI/Savings Plans coverage and utilization; supports daily, monthly, quarterly, annual budget periods; alerts via SNS or email when actual or forecasted usage exceeds thresholds; budget actions can automatically apply IAM policies or stop EC2/RDS instances when thresholds hit; first 2 budgets per account free, then $0.02 per budget per day.",2026-05-17 08:58:21.115874+00
0cd83236-b907-445e-aeec-c79c7aa045ac,sso,AWS Single Sign-On (renamed to IAM Identity Center); workforce identity service for SSO.,"Same as IAM Identity Center (rebranded in 2022); identity sources: built-in directory, Active Directory (AWS Directory Service or AD Connector), external IdP via SAML 2.0; permission sets defined as IAM policies and assigned to users/groups for specific AWS accounts; auto-provisions short-lived IAM roles in target accounts; integrates with AWS Organizations; supports SCIM for automated user provisioning from IdPs like Okta, Azure AD; SSO access to AWS console, CLI v2 (aws sso login), and SAML/OIDC business apps.",2026-05-17 08:58:21.115874+00
0ed23053-20ac-4d52-bbcd-f67599351964,dax,DynamoDB Accelerator; in-memory write-through cache for DynamoDB delivering microsecond reads.,"Reduces DynamoDB read latency from single-digit milliseconds to microseconds; cluster of 1-10 nodes across AZs (minimum 3 nodes for production HA); two caches: item cache (GetItem/BatchGetItem, default TTL 5 min) and query cache (Query/Scan, configurable TTL); supports server-side encryption but not TLS in transit; deployed in a VPC, must be accessed from within the VPC; not suitable for strongly consistent reads, write-heavy workloads, or apps not tolerant of eventually consistent data; supports DynamoDB Streams but not Global Tables for the cached table.",2026-05-17 08:58:21.115874+00
10b980da-7934-4f3e-b515-fdf0f91769b7,elasticache,Managed in-memory cache service supporting Redis (Valkey) and Memcached engines.,"Memcached: multi-threaded, simple key-value, no persistence, no replication, no encryption (until recent versions), horizontal scaling by adding nodes, no Multi-AZ failover; Redis/Valkey: single-threaded, advanced data structures (lists, sets, sorted sets, hashes, streams, pub/sub, geospatial), replication, Multi-AZ with automatic failover, persistence (RDB snapshots, AOF), encryption in-transit and at-rest with KMS, cluster mode for sharding (up to 500 nodes, 1-5 replicas per shard); caching strategies: lazy loading (cache on miss), write-through (update cache on write), TTL-based; common use cases: session store, leaderboards, real-time analytics, rate limiting.",2026-05-17 08:58:21.115874+00
1161cbb3-f1a8-4a63-9e6b-c3116e7515bf,backup,Centralized service to automate and manage backups across AWS services.,"Supports backups for EBS, EC2, RDS, Aurora, DynamoDB, EFS, FSx, Storage Gateway, S3, Neptune, DocumentDB, Redshift, VMware workloads; backup plans define frequency, retention, lifecycle to cold storage; backup vaults hold recovery points with optional vault lock for WORM; supports cross-region and cross-account copy; AWS Backup Audit Manager checks compliance; tag-based resource assignment; default retention can exceed the 35-day limit of native automated backups.",2026-05-17 08:58:21.115874+00
128e0bf6-ac7b-48b4-99db-425f7ca27f65,secrets-manager,Service for managing and rotating secrets like database credentials and API keys.,"Secrets encrypted with KMS; native automatic rotation for RDS, Redshift, DocumentDB via AWS-provided Lambda templates; custom rotation via your own Lambda function for other secrets (OAuth tokens, third-party APIs); rotation schedule configurable; cross-region replication for DR; resource-based policies control cross-account access; retrieve via GetSecretValue API or client-side caching libraries (Java/Python/.NET); $0.40 per secret per month + $0.05 per 10,000 API calls; differs from Parameter Store (which is cheaper but lacks built-in rotation).",2026-05-17 08:58:21.115874+00
